(('lbfgs', 7, 8), 0.11529089557603116),
 (('lbfgs', 5, 10), 0.11696056669968381),
 (('lbfgs', 7, 3), 0.11748031894272766),
 (('lbfgs', 8, 6), 0.12495063389448408),
 (('lbfgs', 7, 10), 0.13371642896118455),
 (('lbfgs', 6, 5), 0.1353104779885477),
 (('lbfgs', 9, 5), 0.1360761885595563),
 (('lbfgs', 9, 6), 0.13711374217458333),
 (('lbfgs', 8, 8), 0.13789795060242466),
 (('lbfgs', 8, 7), 0.1403447468770025),
 (('lbfgs', 4, 10), 0.1417118498916449),
 (('lbfgs', 7, 4), 0.14763799037206168),
 (('lbfgs', 6, 3), 0.1482695600944121),
 (('lbfgs', 5, 3), 0.14866237423315692),
 (('lbfgs', 9, 9), 0.15970515048466755),
 (('lbfgs', 9, 10), 0.16067166007667433),
 (('lbfgs', 4, 8), 0.16229740323694536),
 (('lbfgs', 5, 8), 0.162837619780402),
 (('lbfgs', 6, 10), 0.16665758096928385),
 (('lbfgs', 9, 4), 0.16740262214621832),
 (('lbfgs', 6, 9), 0.17070807754244072),
 (('lbfgs', 4, 7), 0.17072792837210082),
 (('lbfgs', 5, 9), 0.17075926818586923),
 (('lbfgs', 6, 8), 0.1707786839738589),
 (('lbfgs', 9, 7), 0.1717633895154588),
 (('lbfgs', 3, 3), 0.1723249694714183),
 (('lbfgs', 8, 4), 0.17241353582358387),
 (('lbfgs', 8, 5), 0.17242864182502132),
 (('lbfgs', 5, 6), 0.17243041469073456),
 (('lbfgs', 8, 10), 0.17257066352085196),
 (('lbfgs', 4, 3), 0.17262084904185793),
 (('lbfgs', 9, 8), 0.17569304726954152),
 (('lbfgs', 3, 8), 0.17577536120203746),
 (('lbfgs', 3, 5), 0.17610548680920687),
 (('lbfgs', 6, 7), 0.1761342209984679),
 (('lbfgs', 4, 5), 0.17617766216141953),
 (('lbfgs', 8, 9), 0.1761979192385368),
 (('lbfgs', 5, 7), 0.17627015727529807),
 (('lbfgs', 3, 4), 0.17634172395066253),
 (('lbfgs', 7, 9), 0.177255877212747),
 (('lbfgs', 3, 10), 0.17768835680075493),
 (('lbfgs', 3, 9), 0.1784511198710203),
 (('lbfgs', 7, 5), 0.1793592642650076),
 (('lbfgs', 7, 7), 0.17975260749027341),
 (('lbfgs', 6, 6), 0.18096297765066807),
 (('lbfgs', 5, 4), 0.18110676765670192),
 (('lbfgs', 5, 5), 0.1831458380571491),
 (('lbfgs', 7, 6), 0.1840268338252103),
 (('lbfgs', 4, 9), 0.18986354402935027),
