样本编号,测量值,实际值,误差,温度,湿度
204,2.26,1.85,0.41,66.9,56.1
205,2.11,2.23,-0.12,52.8,70.1
206,2.14,2.11,0.03,58.5,68.1
207,1.73,2.06,-0.33,53.2,74
208,1.83,1.75,0.08,58.8,69.1
209,1.78,1.82,-0.04,57.8,68.9
210,1.69,1.76,-0.07,59.6,69.6
211,1.42,1.63,-0.21,51.6,74.3
212,1.5,1.44,0.06,56.9,67.6
213,2.13,1.62,0.51,68,56.9
214,1.58,2.02,-0.44,45.5,76.1
215,1.56,1.57,-0.01,57.1,67.3
216,1.41,1.53,-0.12,51.3,70.3
217,1.32,1.4,-0.08,58,68.5
218,1.72,1.4,0.32,63.4,60.4
219,1.37,1.65,-0.28,54.3,70.3
220,1.4,1.38,0.02,56.3,69
221,0.29,1.4,-1.11,44.6,89.7
222,1.39,1.31,0.08,56.7,65.9
223,1.41,1.39,0.02,56,66.8
224,0.83,1.29,-0.46,50,80
225,0.08,0.65,-0.57,46.6,76.4
226,0.13,0.09,0.04,59.4,65.9
227,2.24,1.62,0.62,66.9,58.8
228,2.73,2.34,0.39,64.7,62.7
229,0.13,1.08,-0.95,41.3,83.4
230,1.13,1.12,0.01,56.5,69.2
231,1.09,1.12,-0.03,55.7,65.1
232,0.44,0.96,-0.52,47.9,75.9
233,0.87,0.53,0.34,64.6,61.1
234,1.51,1,0.51,68.5,59.2
235,1.29,1.12,0.17,64.6,63.2
236,1.23,1.28,-0.05,55.1,65.5
237,1.31,1.25,0.06,56,68.1
238,1.49,1.35,0.14,61.9,64.8
239,1.58,1.5,0.08,55.1,69.7
240,1.56,1.57,-0.01,57.4,65.4
241,1.37,1.52,-0.15,51.3,71.5
242,1.48,1.39,0.09,58.5,69
243,1.15,1.41,-0.26,51.9,72.3
244,1.33,1.19,0.14,64.9,62.7
245,1.45,1.35,0.1,58.7,68.7
246,0.75,1.31,-0.56,48.9,77.8
247,1.5,0.9,0.6,66.6,57.1
248,1.29,1.46,-0.17,50.2,74.2
249,0.89,1.21,-0.32,52,73
250,1.01,0.91,0.1,59.2,65.1
251,1.75,1.22,0.53,66.8,58.3
252,1.6,1.72,-0.12,52.6,73.4
253,1.39,1.56,-0.17,53,71.2
254,1.18,1.02,0.16,62.8,60
255,1.33,1.21,0.12,64.4,61.2
256,1.36,1.33,0.03,55.7,66.2
257,1.02,0.83,0.19,64.7,61.5
258,1.24,1.06,0.18,63.8,63.7
259,1.91,1.38,0.53,66.5,56.4
260,1.46,1.67,-0.21,51,74.5
261,1.69,1.5,0.19,62.3,62.2
262,1.6,1.67,-0.07,59,67.7
263,1.69,1.62,0.07,57,65.7
264,1.59,1.67,-0.08,56,65.4
265,1.47,1.56,-0.09,56.9,66.4
266,1.66,1.51,0.15,60,63.4
267,1.51,1.63,-0.12,53.4,73
268,1.41,1.49,-0.08,57.7,69
269,1.51,1.43,0.08,55.2,66.7
270,1.6,1.53,0.07,55.6,65.3
271,1.68,1.62,0.06,57.4,68.7
272,1.44,1.63,-0.19,51.1,71.5
